Percentage,Segment,Accuracy,Sensibility,Specificity,Dice,Standard Deviation
0.01,1500,0.15405046480743692,0.6607016828468814,0.12569256038028484,1.9150793814918183,0.5262703650269251
0.05,1500,0.19780946987695625,0.9011464688445915,0.15423222447420312,1.9192637529558292,0.510610421771744
0.1,1500,0.23290291940715782,0.887784068631295,0.21667818074510575,1.9180983219847132,0.47973607356605225
0.15,1500,0.21909293087996104,0.8920499992158216,0.19274567307032434,1.9184740238181464,0.4913857907671565
0.2,1500,0.3677633906810213,0.9067141356001317,0.4154950519963582,1.9109826722218184,0.3850379169907803
0.25,1500,0.38989086934292416,0.8994996941704176,0.44585561803150436,1.9103007293553362,0.3716619071554937
0.3,1500,0.46090321762025105,0.9057417543639529,0.5334830926052165,1.9108913634007045,0.3344856610741191
0.35,1500,0.7220007842096001,0.9457034864572388,0.7940230495074873,1.9136147863713864,0.2305324332842656
0.4,1500,0.7646596105266524,0.899578112012045,0.8316397725245113,1.9171081470172326,0.223065722221091
0.5,1500,0.9068789236408579,0.8308840827465065,0.9393291943652693,1.9241622234577365,0.20116294239883856
0.01,2000,0.23178231195791268,0.9197942315835699,0.20899653662620726,1.9343302311801795,0.4927401265968731
0.05,2000,0.21268716369664864,0.9142736155330061,0.17761571648831284,1.9356806431805473,0.5086805968107343
0.1,2000,0.26833148421525566,0.91087028120638,0.2698411972201507,1.941919522376036,0.4677238785022416
0.15,2000,0.22569520533542287,0.9142736155330061,0.19978679891843915,1.9356806431805473,0.4978720522466603
0.2,2000,0.4552369930033142,0.9104781919982434,0.5262269356233387,1.9322324659887091,0.34764263276852303
0.25,2000,0.5772444967532936,0.8596163799187592,0.664752737071825,1.9300300498935106,0.29388151673903745
0.3,2000,0.6714843363968772,0.8162826806354981,0.756657958668271,1.9288796055558837,0.264049661473275
0.35,2000,0.789932962908328,0.8538291432066624,0.853408243470145,1.9315235968738227,0.22719370228269642
0.4,2000,0.8194762385913766,0.8788444346857797,0.8753459942444858,1.9310758270502766,0.21650426746282683
0.5,2000,0.9632650115473441,0.8383965119744045,0.9767125857265079,1.9341833085722844,0.19344284649362287
0.01,2500,0.1793961081537624,0.7330656671005787,0.1554263335361641,1.9334419151318154,0.519981935530755
0.05,2500,0.1916553443240294,0.9393830084220762,0.13577614801462212,1.9271853933704286,0.5253105198456588
0.1,2500,0.21010342430036502,0.9393830084220762,0.16837395286700554,1.9271853933704286,0.5090991717382295
0.15,2500,0.22838749030346026,0.9306315772964665,0.20131946763781436,1.928216108373279,0.49328373900617173
0.2,2500,0.45651089395236916,0.8532959018835966,0.5339726315693155,1.9333010554100558,0.3481778977917731
0.25,2500,0.7055294389401857,0.8565894512319443,0.784200244311969,1.9320100578077022,0.25078124860452883
0.3,2500,0.7129791104698576,0.8546446887595865,0.7906694788468841,1.9276578026483782,0.2468588545728043
0.35,2500,0.8503505434875406,0.8209877511331378,0.8997543154918494,1.9382019474098149,0.21996679997111324
0.4,2500,0.8547426250068161,0.839698248145418,0.902499393795208,1.9373616621290761,0.21589499315588062
0.5,2500,0.9319243292620041,0.6850268973196781,0.957721218997772,1.936122619760744,0.22918187680381874
